Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
11/1/2016 0:00,2016,11,1,0:00, ,-0.3,,-2.3,,87,,34,,6,,,,99.53,,,,-2,,NA
11/1/2016 1:00,2016,11,1,1:00, ,-0.8,,-2.3,,90,,32,,4,,,,99.58,,,,-2,,NA
11/1/2016 2:00,2016,11,1,2:00, ,-1.6,,-2.7,,92,,36,,4,,,,99.63,,,,-3,,NA
11/1/2016 3:00,2016,11,1,3:00, ,-1.8,,-2.6,,95,,33,,6,,,,99.65,,,,-4,,NA
11/1/2016 4:00,2016,11,1,4:00, ,-3.3,,-3.8,,97,,35,,4,,,,99.68,,,,-5,,NA
11/1/2016 5:00,2016,11,1,5:00, ,-3.4,,-3.7,,98,,1,,3,,,,99.72,,,,-5,,NA
11/1/2016 6:00,2016,11,1,6:00, ,-2.2,,-2.6,,97,,9,,3,,,,99.73,,,,-3,,NA
11/1/2016 7:00,2016,11,1,7:00, ,-1.9,,-2.4,,96,,33,,3,,,,99.81,,,,-3,,NA
11/1/2016 8:00,2016,11,1,8:00, ,-1.2,,-1.7,,97,,0,,1,,,,99.86,,,,-2,,NA
11/1/2016 9:00,2016,11,1,9:00, ,-0.1,,-0.8,,95,,7,,2,,,,99.88,,,,-1,,NA
11/1/2016 10:00,2016,11,1,10:00, ,1.4,,0.1,,91,,13,,10,,,,99.88,,,,,,NA
11/1/2016 11:00,2016,11,1,11:00, ,2.6,,0.1,,84,,12,,13,,,,99.87,,,,,,NA
11/1/2016 12:00,2016,11,1,12:00, ,3.5,,0.4,,81,,16,,14,,,,99.8,,,,,,NA
11/1/2016 13:00,2016,11,1,13:00, ,3.7,,0.5,,80,,15,,9,,,,99.78,,,,,,NA
11/1/2016 14:00,2016,11,1,14:00, ,4.3,,0.7,,77,,16,,11,,,,99.73,,,,,,NA
11/1/2016 15:00,2016,11,1,15:00, ,4.4,,1,,78,,16,,15,,,,99.7,,,,,,NA
