Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
5/1/2016 0:00,2016,5,1,0:00, ,-0.1,,-5.3,,68,,2,,5,,,,99.37,,,,-2,,NA
5/1/2016 1:00,2016,5,1,1:00, ,-0.1,,-5.3,,68,,34,,10,,,,99.35,,,,-3,,NA
5/1/2016 2:00,2016,5,1,2:00, ,-0.9,,-5.2,,72,,36,,8,,,,99.38,,,,-4,,NA
5/1/2016 3:00,2016,5,1,3:00, ,-2.8,,-5.5,,81,,5,,3,,,,99.37,,,,-4,,NA
5/1/2016 4:00,2016,5,1,4:00, ,-3.1,,-5.6,,83,,36,,7,,,,99.37,,,,-6,,NA
5/1/2016 5:00,2016,5,1,5:00, ,-3.5,,-6,,82,,34,,8,,,,99.38,,,,-7,,NA
5/1/2016 6:00,2016,5,1,6:00, ,-3,,-5.1,,85,,34,,6,,,,99.42,,,,-5,,NA
5/1/2016 7:00,2016,5,1,7:00, ,0.2,,-3.5,,76,,34,,5,,,,99.46,,,,,,NA
5/1/2016 8:00,2016,5,1,8:00, ,4.2,,-2.7,,61,,33,,5,,,,99.46,,,,,,NA
5/1/2016 9:00,2016,5,1,9:00, ,8.5,,-2.2,,47,,29,,6,,,,99.46,,,,,,NA
5/1/2016 10:00,2016,5,1,10:00, ,11,,-5.3,,31,,35,,5,,,,99.43,,,,,,NA
5/1/2016 11:00,2016,5,1,11:00, ,11.8,,-4.8,,31,,17,,8,,,,99.39,,,,,,NA
5/1/2016 12:00,2016,5,1,12:00, ,13.2,,-6.4,,25,,17,,11,,,,99.34,,,,,,NA
5/1/2016 13:00,2016,5,1,13:00, ,13.3,,-8.4,,21,,29,,11,,,,99.31,,,,,,NA
5/1/2016 14:00,2016,5,1,14:00, ,14,,-8.3,,21,,33,,9,,,,99.25,,,,,,NA
5/1/2016 15:00,2016,5,1,15:00, ,14.7,,-7.9,,20,,18,,8,,,,99.19,,,,,,NA
