Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
7/1/2016 0:00,2016,7,1,0:00, ,13.1,,11.6,,91,,14,,7,,,,98.5,,,,,,NA
7/1/2016 1:00,2016,7,1,1:00, ,11.9,,10.7,,92,,9,,3,,,,98.5,,,,,,NA
7/1/2016 2:00,2016,7,1,2:00, ,11.8,,11,,95,,13,,5,,,,98.48,,,,,,NA
7/1/2016 3:00,2016,7,1,3:00, ,13,,12.2,,95,,15,,8,,,,98.5,,,,,,NA
7/1/2016 4:00,2016,7,1,4:00, ,12.6,,11.9,,96,,15,,7,,,,98.52,,,,,,NA
7/1/2016 5:00,2016,7,1,5:00, ,11,,10.1,,95,,13,,4,,,,98.56,,,,,,NA
7/1/2016 6:00,2016,7,1,6:00, ,13.4,,12.4,,94,,15,,6,,,,98.6,,,,,,NA
7/1/2016 7:00,2016,7,1,7:00, ,15.7,,13.3,,86,,16,,6,,,,98.64,,,,,,NA
7/1/2016 8:00,2016,7,1,8:00, ,18.2,,13,,72,,19,,10,,,,98.68,,,,,,NA
7/1/2016 9:00,2016,7,1,9:00, ,20.7,,14.3,,67,,19,,9,,,,98.65,,,,,,NA
7/1/2016 10:00,2016,7,1,10:00, ,22.6,,14.7,,61,,18,,7,,,,98.61,,26,,,,NA
7/1/2016 11:00,2016,7,1,11:00, ,24.5,,14.4,,53,,18,,8,,,,98.57,,28,,,,NA
7/1/2016 12:00,2016,7,1,12:00, ,25.6,,11.3,,41,,24,,8,,,,98.53,,28,,,,NA
7/1/2016 13:00,2016,7,1,13:00, ,26.9,,12.2,,40,,21,,10,,,,98.49,,29,,,,NA
7/1/2016 14:00,2016,7,1,14:00, ,27.2,,12,,39,,21,,17,,,,98.49,,29,,,,NA
7/1/2016 15:00,2016,7,1,15:00, ,27,,10.8,,36,,16,,16,,,,98.44,,29,,,,NA
7/1/2016 16:00,2016,7,1,16:00, ,26.7,,10.6,,36,,15,,19,,,,98.4,,28,,,,NA
7/1/2016 17:00,2016,7,1,17:00, ,26.9,,10.7,,36,,16,,17,,,,98.37,,29,,,,NA
7/1/2016 18:00,2016,7,1,18:00, ,25.8,,11.6,,41,,14,,15,,,,98.33,,28,,,,NA
7/1/2016 19:00,2016,7,1,19:00, ,23.9,,12.6,,49,,13,,9,,,,98.29,,26,,,,NA
7/1/2016 20:00,2016,7,1,20:00, ,21.7,,13.1,,58,,13,,9,,,,98.27,,25,,,,NA
7/1/2016 21:00,2016,7,1,21:00, ,21.2,,13,,59,,16,,14,,,,98.29,,,,,,NA
7/1/2016 22:00,2016,7,1,22:00, ,20.5,,13.5,,64,,14,,12,,,,98.26,,,,,,NA
7/1/2016 23:00,2016,7,1,23:00, ,20.1,,14,,68,,15,,16,,,,98.23,,,,,,NA
7/2/2016 0:00,2016,7,2,0:00, ,19.6,,14.1,,70,,15,,17,,,,98.17,,,,,,NA
7/2/2016 1:00,2016,7,2,1:00, ,18.9,,14.3,,75,,14,,12,,,,98.09,,,,,,NA
7/2/2016 2:00,2016,7,2,2:00, ,18.6,,13.9,,74,,14,,15,,,,97.99,,,,,,NA
7/2/2016 3:00,2016,7,2,3:00, ,18.3,,12.9,,71,,16,,23,,,,97.93,,,,,,NA
7/2/2016 4:00,2016,7,2,4:00, ,15.4,,13.9,,91,,14,,16,,,,97.87,,,,,,NA
7/2/2016 5:00,2016,7,2,5:00, ,15,,14.1,,94,,12,,22,,,,97.74,,,,,,NA
7/2/2016 6:00,2016,7,2,6:00, ,15.1,,14.1,,94,,14,,17,,,,97.72,,,,,,NA
7/2/2016 7:00,2016,7,2,7:00, ,15,,14.2,,95,,15,,25,,,,97.69,,,,,,NA
7/2/2016 8:00,2016,7,2,8:00, ,15.1,,14.4,,95,,16,,20,,,,97.67,,,,,,NA
7/2/2016 9:00,2016,7,2,9:00, ,15.7,,15,,96,,18,,20,,,,97.66,,,,,,NA
7/2/2016 10:00,2016,7,2,10:00, ,18.3,,16.3,,88,,17,,20,,,,97.61,,,,,,NA
7/2/2016 11:00,2016,7,2,11:00, ,20.1,,16.1,,78,,18,,22,,,,97.55,,25,,,,NA
7/2/2016 12:00,2016,7,2,12:00, ,15.1,,14.3,,95,,14,,13,,,,97.53,,,,,,NA
7/2/2016 13:00,2016,7,2,13:00, ,18,,15.6,,86,,13,,13,,,,97.44,,,,,,NA
7/2/2016 14:00,2016,7,2,14:00, ,19.7,,15.7,,78,,21,,13,,,,97.43,,,,,,NA
7/2/2016 15:00,2016,7,2,15:00, ,19.6,,13.4,,67,,24,,23,,,,97.43,,,,,,NA
7/2/2016 16:00,2016,7,2,16:00, ,19.3,,14.6,,74,,22,,14,,,,97.44,,,,,,NA
7/2/2016 17:00,2016,7,2,17:00, ,18.6,,13.4,,71,,25,,23,,,,97.46,,,,,,NA
7/2/2016 18:00,2016,7,2,18:00, ,18,,12.9,,72,,25,,21,,,,97.53,,,,,,NA
7/2/2016 19:00,2016,7,2,19:00, ,16.2,,12.2,,77,,24,,21,,,,97.61,,,,,,NA
7/2/2016 20:00,2016,7,2,20:00, ,15.7,,12.3,,80,,24,,14,,,,97.68,,,,,,NA
7/2/2016 21:00,2016,7,2,21:00, ,14.2,,11.2,,82,,27,,17,,,,97.73,,,,,,NA
7/2/2016 22:00,2016,7,2,22:00, ,12.7,,11.2,,90,,29,,12,,,,97.79,,,,,,NA
7/2/2016 23:00,2016,7,2,23:00, ,12.5,,10.9,,90,,24,,7,,,,97.79,,,,,,NA
7/3/2016 0:00,2016,7,3,0:00, ,11.8,,8.8,,82,,26,,9,,,,97.78,,,,,,NA
7/3/2016 1:00,2016,7,3,1:00, ,10.8,,9.7,,93,,21,,10,,,,97.77,,,,,,NA
7/3/2016 2:00,2016,7,3,2:00, ,10.5,,9.4,,92,,23,,7,,,,97.76,,,,,,NA
7/3/2016 3:00,2016,7,3,3:00, ,10.1,,8.8,,92,,22,,8,,,,97.75,,,,,,NA
7/3/2016 4:00,2016,7,3,4:00, ,8.7,,7.7,,94,,20,,7,,,,97.73,,,,,,NA
7/3/2016 5:00,2016,7,3,5:00, ,9.4,,8.1,,92,,22,,11,,,,97.76,,,,,,NA
7/3/2016 6:00,2016,7,3,6:00, ,10.2,,8.5,,89,,23,,13,,,,97.75,,,,,,NA
7/3/2016 7:00,2016,7,3,7:00, ,12.4,,8.8,,79,,26,,18,,,,97.77,,,,,,NA
7/3/2016 8:00,2016,7,3,8:00, ,13.2,,8.4,,73,,27,,18,,,,97.79,,,,,,NA
7/3/2016 9:00,2016,7,3,9:00, ,13.8,,8,,68,,26,,15,,,,97.79,,,,,,NA
7/3/2016 10:00,2016,7,3,10:00, ,13.8,,7.7,,67,,26,,20,,,,97.79,,,,,,NA
7/3/2016 11:00,2016,7,3,11:00, ,13.8,,7.9,,68,,28,,21,,,,97.81,,,,,,NA
7/3/2016 12:00,2016,7,3,12:00, ,15,,7.8,,62,,29,,24,,,,97.84,,,,,,NA
7/3/2016 13:00,2016,7,3,13:00, ,15.4,,6.9,,57,,30,,29,,,,97.84,,,,,,NA
7/3/2016 14:00,2016,7,3,14:00, ,18.5,,6.5,,46,,29,,35,,,,97.82,,,,,,NA
7/3/2016 15:00,2016,7,3,15:00, ,18.8,,7.3,,47,,31,,21,,,,97.83,,,,,,NA
7/3/2016 16:00,2016,7,3,16:00, ,20.2,,3.3,,33,,28,,30,,,,97.85,,,,,,NA
7/3/2016 17:00,2016,7,3,17:00, ,19.8,,5.8,,40,,29,,24,,,,97.85,,,,,,NA
7/3/2016 18:00,2016,7,3,18:00, ,19.3,,5.3,,40,,29,,23,,,,97.89,,,,,,NA
7/3/2016 19:00,2016,7,3,19:00, ,18.6,,6.1,,44,,31,,18,,,,97.94,,,,,,NA
7/3/2016 20:00,2016,7,3,20:00, ,16.9,,6.7,,51,,30,,14,,,,97.98,,,,,,NA
7/3/2016 21:00,2016,7,3,21:00, ,13,,7.6,,70,,23,,5,,,,98.03,,,,,,NA
7/3/2016 22:00,2016,7,3,22:00, ,12.2,,8.6,,79,,22,,4,,,,98.08,,,,,,NA
7/3/2016 23:00,2016,7,3,23:00, ,11.2,,8.1,,81,,19,,3,,,,98.08,,,,,,NA
7/4/2016 0:00,2016,7,4,0:00, ,12.6,,7.4,,71,,24,,6,,,,98.09,,,,,,NA
7/4/2016 1:00,2016,7,4,1:00, ,10.7,,6.7,,76,,22,,5,,,,98.06,,,,,,NA
7/4/2016 2:00,2016,7,4,2:00, ,12.4,,9.6,,83,,23,,8,,,,98.06,,,,,,NA
7/4/2016 3:00,2016,7,4,3:00, ,12.4,,9.1,,80,,24,,5,,,,98.05,,,,,,NA
7/4/2016 4:00,2016,7,4,4:00, ,10.4,,8.7,,89,,24,,3,,,,98.05,,,,,,NA
7/4/2016 5:00,2016,7,4,5:00, ,12.6,,10.6,,88,,22,,9,,,,98.08,,,,,,NA
7/4/2016 6:00,2016,7,4,6:00, ,11.9,,9.7,,86,,26,,6,,,,98.1,,,,,,NA
7/4/2016 7:00,2016,7,4,7:00, ,14.6,,11.4,,81,,27,,8,,,,98.14,,,,,,NA
7/4/2016 8:00,2016,7,4,8:00, ,16.7,,12.4,,76,,27,,12,,,,98.16,,,,,,NA
7/4/2016 9:00,2016,7,4,9:00, ,18.4,,12.3,,67,,28,,14,,,,98.17,,,,,,NA
7/4/2016 10:00,2016,7,4,10:00, ,20.6,,12.8,,61,,28,,16,,,,98.15,,,,,,NA
