Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2/1/2016 0:00,2016,2,1,0:00, ,0.8,,-1.8,,83,,14,,11,,,,97.57,,,,,,NA
2/1/2016 1:00,2016,2,1,1:00, ,0.9,,-1.8,,82,,14,,11,,,,97.52,,,,,,NA
2/1/2016 2:00,2016,2,1,2:00, ,0.8,,-1.2,,86,,16,,12,,,,97.43,,,,,,NA
2/1/2016 3:00,2016,2,1,3:00, ,0.8,,-0.8,,89,,14,,11,,,,97.32,,,,,,NA
2/1/2016 4:00,2016,2,1,4:00, ,0.7,,-0.2,,93,,15,,12,,,,97.2,,,,,,NA
2/1/2016 5:00,2016,2,1,5:00, ,0.8,,-0.3,,92,,15,,21,,,,97.04,,,,,,NA
2/1/2016 6:00,2016,2,1,6:00, ,0.7,,-0.2,,94,,15,,16,,,,96.9,,,,,,NA
2/1/2016 7:00,2016,2,1,7:00, ,1.2,,-0.1,,92,,15,,21,,,,96.77,,,,,,NA
2/1/2016 8:00,2016,2,1,8:00, ,1.7,,0.2,,90,,17,,22,,,,96.69,,,,,,NA
2/1/2016 9:00,2016,2,1,9:00, ,2,,0.7,,91,,17,,26,,,,96.58,,,,,,NA
2/1/2016 10:00,2016,2,1,10:00, ,2.5,,1,,90,,17,,25,,,,96.51,,,,,,NA
2/1/2016 11:00,2016,2,1,11:00, ,2.9,,1.1,,88,,16,,21,,,,96.41,,,,,,NA
2/1/2016 12:00,2016,2,1,12:00, ,3.7,,1.2,,84,,18,,17,,,,96.36,,,,,,NA
2/1/2016 13:00,2016,2,1,13:00, ,3.8,,2.2,,89,,20,,22,,,,96.37,,,,,,NA
2/1/2016 14:00,2016,2,1,14:00, ,7,,3.1,,76,,22,,31,,,,96.35,,,,,,NA
2/1/2016 15:00,2016,2,1,15:00, ,6.6,,1.3,,69,,25,,34,,,,96.46,,,,,,NA
2/1/2016 16:00,2016,2,1,16:00, ,3.2,,-1.5,,72,,29,,36,,,,96.81,,,,,,NA
2/1/2016 17:00,2016,2,1,17:00, ,2.1,,-3.2,,68,,29,,33,,,,97.11,,,,,,NA
2/1/2016 18:00,2016,2,1,18:00, ,1.8,,-4.3,,64,,29,,30,,,,97.32,,,,,,NA
2/1/2016 19:00,2016,2,1,19:00, ,0.3,,-5.2,,66,,30,,26,,,,97.57,,,,,,NA
2/1/2016 20:00,2016,2,1,20:00, ,-0.5,,-6.6,,64,,29,,27,,,,97.71,,,,-7,,NA
2/1/2016 21:00,2016,2,1,21:00, ,-3.4,,-8.7,,67,,30,,29,,,,97.92,,,,-11,,NA
2/1/2016 22:00,2016,2,1,22:00, ,-4.8,,-9.8,,68,,31,,27,,,,98.04,,,,-12,,NA
2/1/2016 23:00,2016,2,1,23:00, ,-7.3,,-11.2,,73,,30,,19,,,,98.2,,,,-14,,NA
2/2/2016 0:00,2016,2,2,0:00, ,-8.4,,-12.8,,70,,31,,24,,,,98.31,,,,-17,,NA
2/2/2016 1:00,2016,2,2,1:00, ,-9.4,,-13.4,,73,,31,,18,,,,98.41,,,,-17,,NA
2/2/2016 2:00,2016,2,2,2:00, ,-10.5,,-14,,75,,34,,13,,,,98.5,,,,-17,,NA
