Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
6/1/2016 0:00,2016,6,1,0:00, ,12.1,,9.2,,82,,35,,7,,,,98.56,,,,,,NA
6/1/2016 1:00,2016,6,1,1:00, ,11,,8.7,,86,,36,,6,,,,98.66,,,,,,NA
6/1/2016 2:00,2016,6,1,2:00, ,9.2,,8.1,,92,,36,,5,,,,98.71,,,,,,NA
6/1/2016 3:00,2016,6,1,3:00, ,8.7,,7,,89,,1,,4,,,,98.8,,,,,,NA
6/1/2016 4:00,2016,6,1,4:00, ,8.4,,6.6,,88,,1,,7,,,,98.9,,,,,,NA
6/1/2016 5:00,2016,6,1,5:00, ,6.7,,5.9,,95,,31,,8,,,,99.04,,,,,,NA
6/1/2016 6:00,2016,6,1,6:00, ,7.9,,6.4,,90,,34,,5,,,,99.14,,,,,,NA
6/1/2016 7:00,2016,6,1,7:00, ,10,,6.6,,79,,36,,8,,,,99.24,,,,,,NA
6/1/2016 8:00,2016,6,1,8:00, ,11.4,,6.1,,70,,2,,16,,,,99.29,,,,,,NA
6/1/2016 9:00,2016,6,1,9:00, ,12.6,,4.9,,60,,36,,17,,,,99.32,,,,,,NA
6/1/2016 10:00,2016,6,1,10:00, ,13.9,,4.8,,54,,35,,11,,,,99.35,,,,,,NA
6/1/2016 11:00,2016,6,1,11:00, ,16.1,,5.8,,50,,1,,10,,,,99.34,,,,,,NA
6/1/2016 12:00,2016,6,1,12:00, ,16.6,,2.9,,40,,34,,8,,,,99.34,,,,,,NA
6/1/2016 13:00,2016,6,1,13:00, ,17.9,,3.7,,39,,26,,5,,,,99.35,,,,,,NA
6/1/2016 14:00,2016,6,1,14:00, ,18.8,,1.5,,32,,36,,6,,,,99.32,,,,,,NA
6/1/2016 15:00,2016,6,1,15:00, ,19.2,,0.9,,29,,1,,7,,,,99.27,,,,,,NA
6/1/2016 16:00,2016,6,1,16:00, ,19.6,,2,,31,,19,,10,,,,99.28,,,,,,NA
6/1/2016 17:00,2016,6,1,17:00, ,20.2,,3.1,,32,,16,,11,,,,99.27,,,,,,NA
6/1/2016 18:00,2016,6,1,18:00, ,19.9,,2,,30,,19,,6,,,,99.28,,,,,,NA
6/1/2016 19:00,2016,6,1,19:00, ,19.4,,3.8,,36,,20,,7,,,,99.32,,,,,,NA
6/1/2016 20:00,2016,6,1,20:00, ,16.3,,4.8,,46,,19,,2,,,,99.35,,,,,,NA
6/1/2016 21:00,2016,6,1,21:00, ,12,,6.8,,71,,21,,3,,,,99.41,,,,,,NA
6/1/2016 22:00,2016,6,1,22:00, ,10.1,,6.7,,79,,32,,6,,,,99.43,,,,,,NA
6/1/2016 23:00,2016,6,1,23:00, ,8.7,,6.2,,84,,0,,1,,,,99.43,,,,,,NA
