Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
9/1/2016 0:00,2016,9,1,0:00, ,16.6,,15.9,,96,,31,,5,,,,97.99,,,,,,NA
9/1/2016 1:00,2016,9,1,1:00, ,16.2,,15.7,,97,,30,,6,,,,98,,,,,,NA
9/1/2016 2:00,2016,9,1,2:00, ,16,,15.5,,97,,26,,5,,,,97.96,,,,,,NA
9/1/2016 3:00,2016,9,1,3:00, ,15.9,,15.3,,96,,31,,4,,,,97.95,,,,,,NA
9/1/2016 4:00,2016,9,1,4:00, ,15.6,,14.8,,95,,31,,10,,,,97.97,,,,,,NA
9/1/2016 5:00,2016,9,1,5:00, ,15.1,,13.9,,93,,30,,2,,,,97.94,,,,,,NA
9/1/2016 6:00,2016,9,1,6:00, ,13.7,,12.9,,95,,33,,4,,,,97.98,,,,,,NA
9/1/2016 7:00,2016,9,1,7:00, ,14.2,,13.3,,95,,31,,10,,,,98.01,,,,,,NA
9/1/2016 8:00,2016,9,1,8:00, ,14.5,,13.5,,94,,28,,4,,,,98.09,,,,,,NA
9/1/2016 9:00,2016,9,1,9:00, ,14.9,,13.8,,93,,29,,9,,,,98.11,,,,,,NA
9/1/2016 10:00,2016,9,1,10:00, ,15.5,,14,,91,,31,,8,,,,98.13,,,,,,NA
9/1/2016 11:00,2016,9,1,11:00, ,17.8,,14.6,,82,,29,,15,,,,98.15,,,,,,NA
9/1/2016 12:00,2016,9,1,12:00, ,18.4,,14.5,,78,,31,,12,,,,98.16,,,,,,NA
9/1/2016 13:00,2016,9,1,13:00, ,18.6,,14.5,,77,,27,,12,,,,98.14,,,,,,NA
9/1/2016 14:00,2016,9,1,14:00, ,20.6,,13,,62,,30,,13,,,,98.13,,,,,,NA
9/1/2016 15:00,2016,9,1,15:00, ,20.7,,11.9,,57,,29,,14,,,,98.12,,,,,,NA
9/1/2016 16:00,2016,9,1,16:00, ,21.5,,12.4,,56,,33,,12,,,,98.13,,,,,,NA
9/1/2016 17:00,2016,9,1,17:00, ,17.7,,12.1,,70,,2,,19,,,,98.2,,,,,,NA
9/1/2016 18:00,2016,9,1,18:00, ,15,,13.5,,91,,2,,14,,,,98.25,,,,,,NA
9/1/2016 19:00,2016,9,1,19:00, ,14.7,,13.5,,93,,36,,8,,,,98.31,,,,,,NA
9/1/2016 20:00,2016,9,1,20:00, ,13.5,,12.8,,95,,1,,6,,,,98.36,,,,,,NA
9/1/2016 21:00,2016,9,1,21:00, ,12.7,,12.1,,96,,33,,5,,,,98.4,,,,,,NA
9/1/2016 22:00,2016,9,1,22:00, ,12.5,,11.9,,96,,1,,7,,,,98.47,,,,,,NA
9/1/2016 23:00,2016,9,1,23:00, ,11.6,,10.9,,96,,35,,5,,,,98.48,,,,,,NA
9/2/2016 0:00,2016,9,2,0:00, ,11.7,,11.2,,97,,34,,8,,,,98.51,,,,,,NA
9/2/2016 1:00,2016,9,2,1:00, ,12.5,,12.1,,97,,31,,7,,,,98.55,,,,,,NA
9/2/2016 2:00,2016,9,2,2:00, ,12.5,,12,,97,,34,,4,,,,98.57,,,,,,NA
9/2/2016 3:00,2016,9,2,3:00, ,12.5,,12,,97,,34,,6,,,,98.58,,,,,,NA
9/2/2016 4:00,2016,9,2,4:00, ,12.4,,11.9,,97,,35,,7,,,,98.61,,,,,,NA
9/2/2016 5:00,2016,9,2,5:00, ,11.9,,11.3,,96,,35,,7,,,,98.65,,,,,,NA
9/2/2016 6:00,2016,9,2,6:00, ,11.7,,11.1,,96,,35,,6,,,,98.71,,,,,,NA
9/2/2016 7:00,2016,9,2,7:00, ,11.9,,11.1,,95,,3,,8,,,,98.77,,,,,,NA
